question_from_llm,natural_question_arisen_from_code,python_script_path,tables,text,source_dataset,check_if_code_works,bias,number_of_nested_queries,error_message
"Among households with an interviewed respondent aged 18+ that both (a) own/share at least one non‑ag business (nna01=1) and (b) explicitly reported having no debts in the last 12 months (crh02_1=2), which states have an average reported value of wash machine/stove (ah04f_2, only where a value was reported) above the national average for that same subset? Return the state code and the average value. Note: households must explicitly report no debts (crh02_1=2); missing debt data does not count as no debts.","Which states have an average total household value of washing machine/stove assets above the national average among households with at least one adult (18+), that own/share a non-agricultural business, did not incur debts in the last 12 months, and reported a value for these assets, ranked from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000055.py,"[""ii_portad"", ""ii_crh"", ""ii_nna"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,join_fanout,2.0,
"Among states with at least 50 households that both (a) reported using a plot/land for sowing/farming (su01 = 1) and (b) reported receiving a positive amount directly from Other Government Program in the last 12 months (in02a10 > 0), which states have more such households than the average across those qualifying states? Return the state code (ent) and the count of households.","Among Mexican states, which ones have an above-average number of households that both use a plot/land for farming and received a positive amount directly from Other Government Program, considering only states with at least 50 such households, and how many such households does each have (sorted from highest to lowest)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000056.py,"[""ii_portad"", ""ii_su"", ""ii_in"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_in_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,having,3.0,
"Among households that report using land for farming (su01 = 1), which households that also own a motor vehicle (ah03d = 1, considering any member’s report at the household level) have a recorded positive seed expense (su234 > 0) that is strictly below the average seed expense among all farming households with a recorded positive seed expense?","Among households that use land for farming and own a motor vehicle, which Household IDs have positive seed expenses that are below the overall average seed expense among all farming households with positive seed expenses, and what are those seed expense amounts?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000057.py,"[""ii_portad"", ""ii_inr"", ""ii_ah"", ""ii_su"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_su_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,scalar_filter,3.0,
"Among households located in Oaxaca (ent=20) that experienced at least one illness/accident/hospitalization of a household member in the last five years (se01b=1), considering only households with a recorded value for total debts + interests (crh04_1=1), how many households have a total debts + interests amount (crh04_2) strictly above the average of crh04_2 within that same Oaxaca-and-illness subset?",How many households in Oaxaca that reported a disease/accident/hospitalization event in the last five years have a recorded peso value for total debts plus interests that is above the average among those households?,python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000058.py,"[""ii_portad"", ""ii_nna"", ""ii_crh"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,multi_join,2.0,
"Among households in Oaxaca (ent = 20) where at least one member personally reports producing/selling eggs in the last 12 months (inr02d = 1) and the household owns poultry (exists any ah03m = 1 among its members), how many such households have their oldest interviewed member’s age at least as high as the nationwide average of the oldest interviewed member’s age computed across all households (any state) with at least one egg-producing member? Note: the average benchmark must be computed over all egg-producing households nationwide, not just Oaxaca.",How many households in Oaxaca that reported producing or selling eggs in the last 12 months and have at least one member who owns poultry have a household maximum interviewed age greater than or equal to the overall average of household maximum interviewed ages across all egg-selling households?,python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000059.py,"[""ii_portad"", ""ii_nna"", ""ii_ah"", ""ii_su"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_su_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,column_provenance,3.0,
"Among Oaxaca households (ent=20) that own/share a non-ag business (nna01=1) and have at least one adult aged 18+, what is the average number of adults per household, split by whether at least one member reported owning a domestic appliance (ah03g=1) versus none (ah03g=3)?","Among households in Oaxaca that own or share a non‑agricultural business, what is the average number of adults (age 18+) per household and how many households are there, grouped by whether at least one member owns a domestic appliance (yes vs. no)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000060.py,"[""ii_portad"", ""ii_nna"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,join_fanout,1.0,
"Which states (ent) have at least 40 distinct households that both used a plot/land for sowing/farming/vegetables (su01=1) and explicitly answered 'No' to producing/selling honey during the last 12 months (inr02i=3), and, among interviewed individuals from those households, the average age is strictly below the overall average age across all interviewed individuals?","Which states have at least 40 households that use a plot/land for farming/vegetables and did not produce or sell honey in the last 12 months, and for those states, what are the number of such households and the average age of interviewed individuals, limited to states where this average is below the overall average age across all respondents, ordered from lowest to highest average age?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000061.py,"[""ii_portad"", ""ii_su"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,having,1.0,
"Among households that use a plot of land for cultivation (su01 = 1) and where at least one member reported owning a motor vehicle (ah03d = 1), which households have a recorded positive seed expense (su234 > 0) that is strictly above the average seed expense computed only among land-using households with positive seed expense (regardless of vehicle ownership)? Return Household ID (folio) and seed expense, sorted by expense descending.","Among households that use land for farming and own a motor vehicle, which households have seed expenses (su234) greater than the average seed expense across all farming households with positive seed expenses? List their Household ID (folio) and seed expense, ordered from highest to lowest.",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000062.py,"[""ii_portad"", ""ii_inr"", ""ii_su"", ""ii_nna"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_su_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,scalar_filter,3.0,
"Among adults (age >= 18) interviewed in Oaxaca (ent = 20) who live in households that explicitly reported owning/sharing a non-agricultural business (nna01 = 1), and restricting to those whose age is above the average age within this Oaxaca business-owning adult group, how many such individuals live in households that received a strictly positive direct amount from an Other Government Program in the last 12 months (in02a10 > 0)? Count individuals (rows), not distinct households; treat only strictly positive amounts as a receipt (missing or zero do not count).",How many adults (18+) in Oaxaca living in households that own/share a non-agricultural business are older than the average age of these adults and are in households that received a positive amount directly from an Other Government Program?,python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000063_repaired_v1.py,"[""ii_portad"", ""ii_nna"", ""ii_se"", ""ii_in"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_se_enriched.txt"", ""ii_in_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,multi_join,1.0,
"Among adult respondents (edad >= 18), and restricting to those whose households reported whether they received Liconsa milk in the last 12 months (in03a answered Yes or No), which states (ent) have a number of such adults living in households that produced/sold dairy in the last 12 months (inr02a = 1) greater than the average count across all states? Return the states and the counts, sorted by count descending.",Which states have an above-average number of adults (age 18+) living in households that reported producing or selling dairy products in the last 12 months—considering only households that answered yes or no to receiving Liconsa milk—and how many such adults are in each of those states?,python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000064.py,"[""ii_portad"", ""ii_inr"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,column_provenance,3.0,
"Among adults (age 18+) living in households where at least one household member simultaneously reports owning both an electronic device (ah03e=1) and a wash machine/stove (ah03f=1), and where the household owns/shares a non‑ag business (nna01=1), what is the average age of those adults by state (ent)? Return the top 10 states by this average age, descending. Treat eligibility at the household level (a single member possessing both items is sufficient), and compute the average at the individual level among those adults.","Which 10 states have the highest average age of adults (18+) living in households where at least one member owns both an electronic device and a washing machine/stove and at least one member owns or shares a non‑agricultural business, and how many adults are counted in those states?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000065.py,"[""ii_portad"", ""ii_nna"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,join_fanout,1.0,
"Among households that reported an illness/accident/hospitalization in the last 5 years (se01b = 1), which states have at least 50 such households where the respondent feels unsafe or very unsafe at home (vlh04 in {3, 4})? Count distinct households (by folio) and assign each household’s state using ii_portad.","Which states have at least 50 households that both feel unsafe or very unsafe at home and have had a household member experience an illness, accident, or hospitalization in the last five years, and how many such households does each of those states have?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000066.py,"[""ii_portad"", ""ii_inr"", ""ii_se"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_se_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,having,3.0,
"Among Oaxaca households (ent=20) that use a plot/land (su01=1) and reported selling eggs last month (inr04d > 0), which households that do NOT own/share a non‑agricultural business (nna01=2) sold a last‑month egg quantity strictly above the average last‑month egg quantity computed only among Oaxaca households that DO own/share a non‑agricultural business (nna01=1) who also sold eggs last month and use a plot/land? Return Household ID (folio) and inr04d, sorted descending.","Among Oaxaca households that use a plot/land and sold eggs last month, which households without a non‑agricultural business had a last‑month eggs sold quantity greater than the average among comparable households that do have a non‑agricultural business? List Household IDs and quantities, sorted from highest to lowest.",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000067.py,"[""ii_portad"", ""ii_nna"", ""ii_inr"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,scalar_filter,3.0,
"Among households in Oaxaca (ent=20), how many distinct households both reported using a plot/land for farming (su01=1) and, in the last five years, reported at least one household member died (se01a=1)? Count households, not individuals, and restrict the set to those households that used a plot.",How many households in Oaxaca both use a plot of land for sowing/farming/vegetables and reported a household member died in the last five years?,python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000068.py,"[""ii_portad"", ""ii_se"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,multi_join,1.0,
"Which states (ent) have, among respondents aged 30 or above whose households produced or sold crafts in the last 12 months (inr02f=1), at least as many such respondents who feel safe at home (vlh04 in {1,2}) as the national average number of such respondents per state? Return the state code and that count.","Which states have at least the average (across states) number of respondents aged 30 and older, living in households that produced or sold crafts in the last 12 months, who report feeling safe or very safe at home, and how many such respondents are in each state (sorted from highest to lowest)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000069.py,"[""ii_portad"", ""ii_vlh"", ""ii_inr"", ""ii_nna"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,column_provenance,1.0,
"Among households that reported at least one electronic device with a positive recorded value (any ii_ah row where ah04e_1 = 1 and ah04e_2 > 0), what is the average number of interviewed individuals per household (counting each household once regardless of how many ii_ah or ii_portad rows it has)?","Among households that reported a positive monetary value for electronic device(s), what is the average number of household members?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000070.py,"[""ii_portad"", ""ii_ah"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,join_fanout,1.0,
"Among states where at least 25 households both (a) reported using a plot/land for sowing/farming/vegetable (su01 = 1) and (b) have at least one household member who reported ownership of poultry (ah03m = 1), which states have an average household mean interviewed age (the average of ii_portad.edad within each household) above the overall average household mean interviewed age across those qualifying households?","Among households that both use a plot/land for farming and own poultry, which states have at least 25 such households and an average household mean age above the overall average across all such households, and for each state what are the number of households and the state-level average age (ranked from highest to lowest)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000071.py,"[""ii_portad"", ""ii_inr"", ""ii_vlh"", ""ii_su"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_su_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,having,3.0,
"Among adults (edad >= 18) interviewed in Oaxaca (ent = 20), and only those living in households that reported feeling unsafe at home (vlh04 in {3,4}), which individuals live in households whose total times entered/robbed since 2005 (vlh18a) is strictly above the average vlh18a among unsafe-at-home Oaxaca households?","Among adults (age 18+) in Oaxaca, which individuals live in households that report feeling unsafe or very unsafe at home and whose household’s total number of house/business/parcel break-ins since 2005 is above the Oaxaca average for such unsafe households?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000072.py,"[""ii_portad"", ""ii_vlh"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,scalar_filter,3.0,
"Considering distinct households (not individuals) that reported receiving Liconsa milk in the last 12 months, which five states have the highest number of such households that feel Unsafe or Very unsafe at home (vlh04 in {3,4}), including only states whose count is at or above the national average (across states) for this metric?","Among households that received Liconsa milk in the last 12 months, which top five states have the highest number of households who feel unsafe or very unsafe at home (restricted to states with counts at or above the cross-state average), and how many are there in each?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000073.py,"[""ii_portad"", ""ii_in"", ""ii_vlh"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,multi_join,3.0,
"Among households in Oaxaca (ent = 20), how many distinct households have at least one member who owns a motor vehicle (ah03d = 1 in ii_ah) and also reported producing/selling crafts in the last 12 months (inr02f = 1 in ii_inr)?",How many households in the state of Oaxaca both own a motor vehicle and reported producing or selling crafts in the last 12 months?,python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000074.py,"[""ii_portad"", ""ii_inr"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,column_provenance,2.0,
"For each state (ent), among households that both (a) use a plot/land for sowing/farming (su01=1) and (b) have at least one member aged 18–24, and further restricting to households whose average member age is at or above the overall household-average age, how many such households are there and how many of them report owning/sharing a non‑agricultural business (nna01=1)? Ensure each household is counted once despite multiple members.","For each state, how many households that use a plot/land for farming, include at least one member aged 18–24, and have an average household age at or above the overall average, and how many of those households have a member who owns or shares a non‑agricultural business?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000075.py,"[""ii_portad"", ""ii_nna"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,join_fanout,3.0,
"Among households that reported using a plot/land for farming (su01 = 1), considering only households with a valid answer to 'Feel safe at home?' (vlh04 in {1, 2, 3, 4}), and counting households (distinct folios) rather than respondents, which states (ent) have at least 30 such households, and what is each such state's average vlh04 score? Return the state code, number of qualifying households, and the average score, sorted by average score (ascending).","Among states, for households that report using a plot/land for sowing, farming, or vegetables, what is the average 'Feel safe at home?' rating (1=Very safe, 4=Very unsafe) in each state, considering only states with at least 30 such households, and how do these states rank from safest (lowest average) to least safe?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000076.py,"[""ii_portad"", ""ii_vlh"", ""ii_inr"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,having,2.0,
"Among households in Oaxaca (ent = 20), which households that reported an actual value for the amount paid toward debts in the last 12 months (crh03_1 = 1, using crh03_2 as the amount) have payments strictly greater than the average crh03_2 among households nationwide who felt unsafe at home (vlh04 in {3,4}) and also reported a numeric payment value? Return their folio and the payment amount.","Among households in Oaxaca (state code 20), which Household IDs reported a monetary amount paid in the last 12 months and have amounts greater than the overall average paid by households who feel unsafe or very unsafe at home, and what are those amounts (sorted from highest to lowest)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000077.py,"[""ii_portad"", ""ii_crh"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,scalar_filter,3.0,
"Among households that (i) have at least one member who reports the household owns a motor vehicle (ah03d=1) and (ii) reported a numeric total debts + interests value (crh04_1=1, using crh04_2), and using the respondent’s state (ent) from ii_portad, which states have the largest number of such households whose total debts + interests exceed the overall average for these same qualifying households across all states? Count unique households (by folio), not individuals, and return the counts per state sorted descending.","By state, how many households that own a motor vehicle and reported a value for total debts (including interest) have debt above the overall average across such households nationwide, and which states have the highest counts?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000078.py,"[""ii_portad"", ""ii_nna"", ""ii_vlh"", ""ii_ah"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,multi_join,2.0,
"Among households that concurrently (a) have at least one member aged 60 or older (from ii_portad) and (b) have at least one asset record with financial assets/afores and a positive reported peso value (ah04h_1 = 1 and ah04h_2 > 0 in ii_ah), how many such households in each state (ent) have total debts + interests (crh04_2 in ii_crh) strictly above the national average among households that reported a value, and among those households, how many received a positive direct amount from Other Government Program (in02a10 > 0 in ii_in)? Return the state codes with both counts, sorted by the number that received the program in descending order.","By state, how many households have at least one member aged 60 or older and at least one member with a positive value of financial assets/afores, whose total debts plus interests are above the overall average, and among those households, how many received any direct income from the Other Government Program?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000079.py,"[""ii_portad"", ""ii_in"", ""ii_crh"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,column_provenance,3.0,
"Among households with at least one adult (edad >= 18) and a recorded value for electronic devices (ii_ah: ah04e_1 = 1), define the household’s electronic-device value as the maximum ah04e_2 reported across its members (to avoid double-counting shared assets). What is the average of this household-level value for households that reported a household member’s death in the last five years (ii_se.se01a = 1)? Return this single-row result only if it is strictly greater than the corresponding average among all eligible households (with an adult and a recorded device value), otherwise return no rows.","For households with at least one adult and a positive reported value for electronic devices, is the average of each household’s maximum reported electronic-device value higher among households that reported a household member’s death in the last five years than the overall average across all such households?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000080.py,"[""ii_portad"", ""ii_se"", ""ii_ah"", ""ii_inr"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,join_fanout,1.0,
"Among states with at least 30 households that both (a) reported knowing a family/friend robbed in the last 5 years (vlh08a = 1) and (b) did not produce or sell any of the listed goods in the last 12 months (all inr02a–inr02k = 3), which states have an above-average number of households who feel unsafe at home (vlh04 in {3,4}) relative to that set of states? Return the state codes with the counts of eligible households and unsafe households, sorted by the unsafe count descending.","Among states with at least 30 households that did not produce or sell any listed goods in the last 12 months and who know a family or friend robbed in the last five years, which states have an above-average number of these households who feel unsafe or very unsafe at home? For each qualifying state, report the total number of eligible households and the number who feel unsafe, sorted by the unsafe count in descending order.",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000081.py,"[""ii_portad"", ""ii_inr"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,having,3.0,
"Among households that reported owing money on credit/loans in the last 12 months (crh02_1 = 1), how many live in localities where people do favors each other (vlh01t) more frequently than the average among households that did not incur debts (crh02_1 = 2), and that have suffered at least one break-in/robbery since 2005 (vlh18a > 0)?",How many households that incurred debts in the last 12 months and experienced at least one robbery/forced entry since 2005 report that people in their locality do favors for each other more often than the average reported by households that did not incur debts in the last 12 months?,python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000082.py,"[""ii_portad"", ""ii_inr"", ""ii_in"", ""ii_vlh"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_in_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,scalar_filter,1.0,
"Among households whose respondent reports feeling unsafe at home (vlh04 = 3 or 4) yet also agrees their locality is close (vlh01k = 1 or 2), how many households both (a) contain at least one adult member (edad >= 18 in ii_portad) and (b) have at least one household member who reports that the household owns the living house (ah03a = 1 in ii_ah)? Treat missing ownership responses as missing (not as an explicit ""No""), and note that a household qualifies if any member reports ownership (not necessarily all).","How many households have at least one adult member, at least one member who reports owning the dwelling they live in, and report feeling unsafe or very unsafe at home while completely agreeing or agreeing that their locality is close?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000083.py,"[""ii_portad"", ""ii_nna"", ""ii_ah"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,multi_join,3.0,
"Among households that received Liconsa milk in the last 12 months (ii_in.in03a = 1), and keeping only cases where the interviewed person is the first listed individual (ls = '01' from ii_portad) and the household reports feeling safe or very safe at home (ii_vlh.vlh04 in {1,2}), which states (ent) have an average household total reported value of electronic devices (sum of ii_ah.ah04e_2 per household, considering only entries with ii_ah.ah04e_1 = 1) above the overall average for that same subset? Note: after joining ii_portad with ii_ah on folio only, use ls_x from ii_portad (not ls_y from ii_ah) to identify the first listed individual.","Among households that received Liconsa Milk in the last 12 months and report feeling very safe or safe at home, which states have an average per-household total value of electronic devices above the overall average, ranked from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000084.py,"[""ii_portad"", ""ii_in"", ""ii_ah"", ""ii_vlh"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,column_provenance,3.0,
"Among households that both have at least one adult (age ≥ 18) and at least one member who reports owning an electronic device, which states (ent) have an above-average number of such households that report feeling safe or very safe at home (vlh04 in {1,2})? Compute counts only among those qualifying households, and compare them to the average across states that have at least one such household.","Which states have an above-average number of households that have at least one adult (18+), include at least one member who owns an electronic device, and report feeling very safe or safe at home, and how many such households are in each state ranked from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000085.py,"[""ii_portad"", ""ii_ah"", ""ii_vlh"", ""ii_su"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_su_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,join_fanout,2.0,
"Among households that feel unsafe at home (vlh04 in {3,4}) and that explicitly reported they have not suffered a household break-in since 2005 (vlh12a_c = 3), which states (ent) have an average perceived safety score (mean vlh04; higher means worse) above the national average computed over the same subset? Only include states with at least 30 such households.","Among Mexican states, which ones have an above-national-average mean on the home safety scale (higher = more unsafe) among households that report feeling unsafe or very unsafe at home and have not experienced a forced home entry since 2005, considering only states with at least 30 such households, and what are their mean scores and household counts, ordered by highest mean?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000086.py,"[""ii_portad"", ""ii_in"", ""ii_se"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_se_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,having,2.0,
"Among households that have at least one member aged 65 or older and a recorded value for total debts + interests (crh04_2 marked as a value), which households have total debts exceeding the average within this elderly-household group (not the overall average) and also reported receiving a positive amount directly from Other Government Program (in02a10 > 0) in the last 12 months? List their Household ID and debt amount, sorted from highest to lowest debt.","Which households with at least one member aged 65 or older, that reported a value for total debts + interests, have a debt amount (pesos) greater than the average for elderly households and also received a positive amount from Other Government Program? List Household ID, total debts + interests, and the Other Government Program amount, sorted by debt from highest to lowest.",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000087.py,"[""ii_portad"", ""ii_in"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,scalar_filter,3.0,
"Among households in Oaxaca (ent=20) that have at least one adult member (edad >= 18), and that report owning domestic appliances (ah03g=1) but not a motor vehicle (ah03d=3), what is the average amount they paid toward debts in the last 12 months (crh03_2), counting only households that explicitly reported a numeric payment value (crh03_1=1)?","What is the average amount paid in the last 12 months (in pesos) among households in Oaxaca that include at least one adult (18+), own domestic appliances but not a motor vehicle, and reported an amount paid?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000088.py,"[""ii_portad"", ""ii_crh"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,multi_join,2.0,
"Among adults aged 25 or older who live in households where at least one member reports owning a motor vehicle, and among those households that reported a positive amount paid toward debts in the last 12 months, what is the average age of those adults whose household’s payment exceeded the overall average payment among such households?","Among individuals aged 25 or older living in households that own a motor vehicle, what is the average age for those whose household reported a positive amount paid on debts in the last 12 months (in pesos) that exceeds the overall average household amount paid among households with a recorded value?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000089.py,"[""ii_portad"", ""ii_crh"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,column_provenance,2.0,
"Among households that both incurred any debt in the last 12 months (crh02_1 = 1) and did not participate in any 'Other Government Program' (in01a10_1 = 3), what is the average number of household members who personally own an electronic device (ah03e = 1) per owner-household, by state (ent)? Use households (not person rows) as the averaging unit to avoid double counting when merging tables.","By state, what is the average number of household members who own electronic devices among households that owed money on credit/loans in the last 12 months and where no member participated in Other Government Program?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000090.py,"[""ii_portad"", ""ii_in"", ""ii_su"", ""ii_ah"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_su_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,join_fanout,1.0,
"Among Mexican states (ent) with at least 25 households that reported receiving Liconsa milk in the last 12 months (ii_in.in03a = 1), which states have a higher average directly received amount from 'Other Government Program' (ii_in.in02a10) than the overall household-level average computed only from those qualifying states? Return the state code (ent), the number of qualifying households, and the state's average amount, sorted by the average descending.","Among households that received Liconsa milk in the last 12 months, which states with at least 25 such households have an average amount received directly from Other Government Program above the overall average across those states, and how do they rank by that average?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000091.py,"[""ii_portad"", ""ii_in"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,having,1.0,
